"powiat","samochodyZielone","gęstość","ludnosc","przystanki","odsetek65","cenyMieszkan","parki","ogółem","rodzaj_powiat"
"Powiat lubliniecki",186.942001410381,91.4,75157,36.4570166451561,18.1,250157,16.6318506592866,5685.44,"ziemski"
"Powiat m. Mysłowice",196.111273955585,1091,71643,31.9640439400918,18.6,244540,10.1894113870162,5754.97,"grodzki"
"Powiat m. Leszno",228.389564987962,1903.4,60642,32.4857359585766,21.9,295361,7.09079515847103,5831.34,"grodzki"
"Powiat lubartowski",163.517699638204,65.6,84578,82.6456052401334,19.3,285681,6.7393411998392,5250.01,"ziemski"
"Powiat garwoliński",129.710282143533,82.2,105620,66.9380799091081,16.9,285065,4.63927286498769,5700.38,"ziemski"
"Powiat słupski",142.054015857676,41.6,96231,68.2732175702217,17.2,247645,15.6914092132473,5628.96,"ziemski"
"Powiat sławieński",256.069234227484,51.2,53384,58.4444777461412,19.6,398525,9.74074629102353,5260.4,"ziemski"
"Powiat puławski",125.933613803584,115.6,107914,62.1791426506292,23,332868,6.20864762681394,6254.05,"ziemski"
"Powiat olkuski",127.102383871662,172.8,106843,67.2950029482512,22.1,266839,3.18223936055708,5894.22,"ziemski"
"Powiat kwidzyński",167.667046976537,96.6,80636,79.6170444962548,17,226159,12.2773947120393,5839.35,"ziemski"
"Powiat policki",155.90410249164,127.8,84924,39.9180443690829,15.5,417507,11.5397296406198,6622.81,"ziemski"
"Powiat chrzanowski",110.425245783877,323.7,119719,47.6114902396445,21.6,238515,16.7893149792431,6020.61,"ziemski"
"Powiat żniński",193.270136599152,69,67936,75.8066415449835,19.3,200242,6.47668393782383,5169.82,"ziemski"
"Powiat kłodzki",86.2921287857897,90.5,148681,38.807917622292,23.2,220737,7.53290602027159,5670.31,"ziemski"
"Powiat m. Konin",187.33850129199,827.6,68112,38.6128729151985,25,253069,37.8787878787879,5913.95,"grodzki"
"Powiat brzeski",145.854952150352,99,86730,46.4660440447365,20,232829,3.22841000807102,5723.46,"ziemski"
"Powiat ełcki",141.050089707857,79.6,88621,47.0543099265411,16.9,288258,2.82100179415714,5238.03,"ziemski"
"Powiat m. Chorzów",122.65243244304,3058.6,101914,18.0544380556155,20.5,268258,18.2506819475244,5954.04,"grodzki"
"Powiat m. Dąbrowa Górnicza",108.22114756241,608.1,114765,17.7754541889949,24,265746,4.87953644403782,7271.87,"grodzki"
"Powiat międzyrzecki",221.652184908864,39.9,55357,29.8065285329769,19.9,203001,11.2000289033004,5695.99,"ziemski"
"Powiat suski",146.522790429102,121.2,83127,48.1191429980632,17.1,241350,1.08268071745642,5555.61,"ziemski"
"Powiat pszczyński",109.500892229492,235.4,110958,42.4484940247661,15.4,278954,2.88397411633231,5980.4,"ziemski"
"Powiat myśliborski",191.644858620029,53,62668,25.5313716729431,20.1,225406,15.15925193081,5671.63,"ziemski"
"Powiat kłobucki",145.662272137391,92.8,82451,77.8644285696959,19.5,270315,2.54696728966295,5132.42,"ziemski"
"Powiat jarosławski",102.35449690017,113.2,116458,50.7479091174501,18.5,223729,1.71735733053977,5308.03,"ziemski"
"Powiat krotoszyński",155.741731614377,105.6,75317,52.7105434364088,18,214872,10.3562276776823,4772.92,"ziemski"
"Powiat gnieźnieński",81.412083415639,113,141748,59.6833817761097,18.6,254333,8.8184665744843,5631.02,"ziemski"
"Powiat gorzowski",156.369080021775,60.5,73480,45.4545454545455,15.8,277246,7.07675557974959,6162.2,"ziemski"
"Powiat zduńskowolski",178.532207963352,172.7,63742,47.3784945561796,20.5,244665,2.82388378149415,5607.97,"ziemski"
"Powiat krośnieński",213.350908577347,38.2,53105,48.3946897655588,19.4,201310,10.9217587797759,5730.7,"ziemski"
"Powiat myszkowski",163.105768948188,142,68054,64.5075969083375,21.8,194914,4.40826402562671,5629.12,"ziemski"
"Powiat wyszkowski",149.66966640385,83.8,73562,43.2288409776787,17.2,277751,1.49533726652348,5551.98,"ziemski"
"Powiat iławski",122.037730829768,65.1,90218,55.5321554456982,17.7,245634,7.31561329224767,5080.82,"ziemski"
"Powiat siedlecki",136.286835958853,50.2,80492,142.995577200219,17.1,253286,1.36659543805596,5411.82,"ziemski"
"Powiat m. Legnica",116.616509028375,1652.9,93040,23.4307824591574,22.7,269990,5.37403267411866,6068.54,"grodzki"
