powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat piotrkowski,787,63.4,90519,712,18.4,200285,15,"5,278.96",ziemski
Powiat nowotomyski,773,74.3,75182,161,16.8,256893,116,"5,753.37",ziemski
Powiat włodawski,764,28.5,35802,326,21,145700,33,"5,234.17",ziemski
Powiat sokólski,764,30.2,62063,406,20.9,227694,20,"5,506.16",ziemski
Powiat skarżyski,759,174.7,69087,491,25.1,212224,26,"5,704.16",ziemski
Powiat zgorzelecki,758,102.4,85898,283,20.9,212395,98,"5,980.91",ziemski
Powiat m. Siemianowice Śląskie,758,2504.6,63892,136,21.8,248156,48,"5,955.67",grodzki
Powiat m. Przemyśl,755,1230.3,56802,240,23.3,218785,11,"5,454.18",grodzki
Powiat szczecinecki,750,41.5,73308,329,21.1,221791,59,"5,799.80",ziemski
Powiat gostyński,748,91.2,73899,304,17.3,253042,124,"5,738.30",ziemski
Powiat opatowski,746,53.7,48894,995,21.9,165574,13,"5,106.84",ziemski
Powiat bytowski,744,35,76715,572,16.6,227491,73,"5,961.47",ziemski
Powiat płoński,743,61.2,84387,414,19.2,229772,25,"5,660.12",ziemski
Powiat nowosolski,741,107.2,82619,326,20.5,194370,89,"5,810.07",ziemski
Powiat rycki,740,84.7,52021,299,21.3,227023,10,"5,359.49",ziemski
Powiat polkowicki,738,78.6,61308,333,17.2,197690,30,"6,861.21",ziemski
Powiat obornicki,738,83,58988,277,17,267299,18,"5,821.90",ziemski
Powiat siemiatycki,737,28.2,41114,417,22.1,218416,10,"5,439.21",ziemski
Powiat kozienicki,731,62.8,57523,231,21.5,225484,23,"7,274.27",ziemski
Powiat ostrowski,724,56.6,68881,413,20,231454,36,"5,729.10",ziemski
Powiat gryfiński,722,41.5,77567,473,19.3,236286,114,"5,878.75",ziemski
Powiat m. Suwałki,717,1046,68525,267,17.2,297811,45,"5,547.59",grodzki
Powiat opoczyński,710,69.5,72310,668,19.5,244617,36,"5,462.96",ziemski
Powiat słubicki,708,46,45965,187,16.9,241833,40,"5,920.34",ziemski
Powiat bielski,705,36.9,51151,372,22.8,278157,33,"6,839.68",ziemski
Powiat czarnkowsko-trzcianecki,700,46.5,84020,432,18.4,223476,44,"5,808.58",ziemski
Powiat chełmski,698,39.4,74358,778,18.7,144000,35,"5,126.89",ziemski
Powiat legnicki,695,74,55032,339,18.8,233641,52,"6,116.35",ziemski
Powiat m. Grudziądz,693,1548.6,89450,338,21.9,209579,84,"5,299.09",grodzki
Powiat tomaszowski,692,52.4,77963,441,21,229920,46,"5,100.78",ziemski
Powiat łęczyński,691,87.8,55926,338,16.3,305827,33,"8,543.50",ziemski
Powiat grajewski,678,46.2,44724,380,18.5,202596,14,"6,144.83",ziemski
Powiat słupecki,677,68.7,57554,445,18.7,220863,57,"5,450.67",ziemski
Powiat biłgorajski,677,57.7,97055,568,19.8,254731,20,"5,109.51",ziemski
Powiat działdowski,666,64.9,61917,307,17.9,195169,49,"5,273.63",ziemski
Powiat średzki,660,83.1,58508,374,16.3,327550,59,"6,315.50",ziemski
Powiat łowicki,659,75.5,74606,335,20.9,268747,32,"5,395.60",ziemski
Powiat łańcucki,658,178.8,80802,364,17.5,248132,36,"5,344.40",ziemski
Powiat ropczycko-sędziszowski,654,135.1,74066,245,16.3,253757,7,"5,343.80",ziemski
Powiat kluczborski,654,72.4,61714,410,20,186740,38,"5,681.23",ziemski
Powiat lipnowski,652,62,63051,449,17.1,172971,25,"4,910.26",ziemski
Powiat ostrzeszowski,651,70.7,54638,252,17.7,263071,27,"5,479.65",ziemski
Powiat wrzesiński,650,111.1,78176,369,17.4,263239,77,"5,758.50",ziemski
Powiat przeworski,650,109,76094,268,18,177875,26,"5,110.08",ziemski
Powiat lęborski,641,90.3,63900,334,18.3,248271,82,"5,918.89",ziemski
Powiat kępiński,640,92.2,56071,247,17.1,257819,49,"4,687.66",ziemski
Powiat bieruńsko-lędziński,635,376.7,59568,254,16.1,214574,96,"5,620.67",ziemski
Powiat poddębicki,633,45,39621,377,21.1,254146,24,"7,377.24",ziemski
Powiat hajnowski,633,24.3,39427,492,26.5,191304,8,"6,773.76",ziemski
Powiat szczycieński,631,34.6,66859,280,17.9,239091,26,"5,503.25",ziemski
Powiat rawski,624,71.8,46415,250,20,281661,32,"5,550.93",ziemski
Powiat mrągowski,623,45,47861,198,18.3,328921,42,"5,298.87",ziemski
Powiat głubczycki,623,64,43065,182,21.8,133076,43,"5,978.21",ziemski
Powiat pułtuski,622,61.1,50557,253,18.3,211661,8,"5,503.60",ziemski
